tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
2859,Audible Amber,Wabash Brewing Taproom & Brewery,American Amber / Red Ale,5.20 %,2698,Clancys Amber,Moosehead Brewery,Amber Ale,5 %,0
3572,Smelteverket _ ™ s Jamaican Blue,Ego Brygghus,American Amber / Red Ale,5.20 %,859,Bills Rudy_s Red,Bills Tavern and Brewhouse,Irish Ale,-,0
1612,255 Amber,Waconia Brewing Company,American Amber / Red Ale,6.40 %,2811,Fulton Garage Series 4 : The Libertine - 2 Gingers Barrel Aged,Fulton Beer Company,Specialty Grain,8.50 %,0
888,Namber Ale,Nano Brew Cleveland,American Amber / Red Ale,5.50 %,352,Naparbier ZZ + Amber Ale,Naparbier,Amber Ale,5.50 %,0
255,Kroovy,Rushing Duck Brewing Company,American Amber / Red Ale,9.00 %,2290,Lagunitas Olde GnarlyWine,Lagunitas Brewing Company &#40; Heineken &#41;,Barley Wine,10.60 %,0
1930,La Virgen Jamonera,Cervezas La Virgen,American Amber / Red Ale,5.00 %,2925,_ P Vimperk ZÃ ¡ zvorovÃ 1/2 SpeciÃ ¡ l 13Â ° &#40; Ginger &#41;,_ umavskÃ 1/2 Pivovar,Spice/Herb/Vegetable,-,0
455,Knucklehead Red Ale,Beachwood BBQ & Brewing,American Amber / Red Ale,5.70 %,2516,Hardywood x RVA Beard League Barleywine 2014,Hardywood Park Craft Brewery,Barley Wine,12.50 %,0
1425,Autumn Amber Ale,Boylan Bridge Brewpub,American Amber / Red Ale,-,1756,Bear Republic Toyon Brut,Bear Republic Brewing Company,Sour/Wild Ale,5.50 %,0
844,Slaughterhouse Red India Ale,Payette Brewing,American Amber / Red Ale,7.50 %,774,Free State Thunderhead Pale Ale,Free State Brewing Company,American Pale Ale,6.40 %,0
4091,Short 's Bourbon Barrel Aged Wizard,Short 's Brewing Company,American Barleywine,11.00 %,2165,Blue Island Massive Political Corruption,Blue Island Beer Company,Amber Ale,4.50 %,0
2112,Spitfire Red Ale,Plattsburgh Brewing Company,American Amber / Red Ale,-,1492,Basil Ts Rocket Red Ale,Basil Ts &#40; Red Bank &#41;,Amber Ale,5 %,0
2663,Summer 66,Two Rows Restaurant & Brewery,American Amber / Red Ale,-,1771,4T_s Santas Sack,4T_s,Golden Ale/Blond Ale,4.20 %,0
3831,Louisiana Amber,Flying Heart Brewing,American Amber / Red Ale,6.60 %,1401,8 Wired Flanders Pale,8 Wired Brewing,Sour/Wild Ale,6 %,0
4336,Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 %,258,Breakwater Railslide Red,Breakwater Brewing Company,Amber Ale,5.70 %,0
3405,Brock Street Irish Red,Brock Street Brewing Company,American Amber / Red Ale,5.50 %,2662,Mayday Angry Redhead,Mayday Brewery,Amber Ale,6 %,0
200,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,1602,Amherst Minuteman Red,Amherst Brewing Company,Amber Ale,4.80 %,0
3938,Imperial Ruby,Toxic Brewing Co. .,American Amber / Red Ale,8.70 %,2947,AC Golden Colorado Native Saison,Coors Brewing Company &#40; MillerCoors &#41;,Saison,-,0
2862,Monkey Bar,Recess Brewing,American Amber / Red Ale,4.70 %,679,Sierra Andina Alpamayo Amber Ale,Sierra Andina,Amber Ale,5.80 %,0
2574,Golden Ale,Laht Neppur Brewing Company,American Amber / Red Ale,6.00 %,2316,Moylans Old Blarney Barleywine &#40; Bourbon Barrel &#41;,Moylans Brewery & Restaurant,Barley Wine,10 %,0
3899,Pacific Red Ale,Brasserie de la VallÃ © e du Giffre,American Amber / Red Ale,5.50 %,1215,Black Oak Love Fuzz,Black Oak Brewing,Amber Ale,6.20 %,0
1019,Durham Red Dragon,County Durham Brewing Company,American Amber / Red Ale,4.70 %,2929,Mayflower Spring Hop Ale,Mayflower Brewing Company,Amber Ale,5.20 %,0
3907,Ankerla Kolonial Red Ale,Brauerei Gasthof AnkerbrÃ $ u,American Amber / Red Ale,7.00 %,103,Lilys Reggies French River Red Ale,Lilys Seafood Restaurant & Brewery,Amber Ale,5.80 %,0
3928,Liar 's Moon,Triple Rock Brewery & Alehouse,American Amber / Red Ale,4.80 %,369,Brewsters Winter WARMer Amber Ale,Brewsters Brewing Co. - Alberta,Amber Ale,6 %,0
4302,Wolf 's Breath Winter Warmer,Trinity Brewhouse,American Barleywine,9.00 %,1163,Intuition Barrel Aged Riverside Red,Intuition Ale Works,Amber Ale,7.80 %,0
355,Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,2555,Anderson Valley Bahl Hornin _ Imperial Boont Amber Ale,Anderson Valley Brewing Company,American Strong Ale,8.80 %,0
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %,364,Americas Reindeer Red Ale,Americas Brewpub,Amber Ale,5.80 %,0
1884,Reagan 's Imperial Red,Barrio Brewing Company,American Amber / Red Ale,8.50 %,2163,Intracoastal Sore Amber,Intracoastal Brewing Company,Amber Ale,5.50 %,0
2223,Unicorn Stampede,Fall Brewing Company,American Amber / Red Ale,6.60 %,482,Sebago Runabout Red Ale,Sebago Brewing Company,Amber Ale,5 %,0
2526,Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 %,124,Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing,American Strong Ale,11 %,0
3351,Arrr Amber,Blackjack Brewing Company,American Amber / Red Ale,5.30 %,2161,1516 NZ Nelson Sauvin Pale Ale,1516 Brewing Company,India Pale Ale &#40; IPA &#41;,-,0
98,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.50 %,1570,Mia and Pias Rods Rodeo Red,Mia and Pias Pizzeria and Brewhouse,Amber Ale,4.70 %,0
2099,Monkeys Butt Amber Ale,Suds Brothers Brewery,American Amber / Red Ale,-,2394,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company,Imperial IPA,10.60 %,0
4165,Samurai Barley Ale,Hyouko Yashiki No Mori Brewery,American Barleywine,10.00 %,2859,Redondo Beach Dubbel Dark IPA,Redondo Beach Brewing Company,Black IPA,-,0
2368,Smoked Ale,Good Hops Brewing LLC,American Amber / Red Ale,-,2004,Coaticook La Maplehurst,Microbrasserie Coaticook,Amber Ale,-,0
4243,Midwinter Warmer,Equinox Brewing Company,American Barleywine,10.00 %,2574,Archers Single Hop Amber Ale,Evan Evans,Amber Ale,4 %,0
1876,Rye Whiskey Barrel Aged Libertine,Fulton Beer,American Amber / Red Ale,8.50 %,732,Osgood Oakestown,Osgood Brewing,Amber Ale,5.50 %,0
102,Rainmaker,Steel Toe Brewing,American Amber / Red Ale,6.50 %,504,Sierra Blanca Roswell Alien Amber Ale,Sierra Blanca Brewing Co,Amber Ale,5.20 %,0
2395,B'rousse Willis,Noire & Blanche,American Amber / Red Ale,4.70 %,2607,High Noon Annies Amber Ale,High Noon Saloon & Brewery,Amber Ale,5.50 %,0
3053,Big Willie Style,Ex Novo Brewing,American Amber / Red Ale,5.30 %,1110,Red Castle Scarlet Throne Amber IPA,Red Castle Brewery & Distillery,India Pale Ale &#40; IPA &#41;,-,0
3511,Depth Finder IRA,7 Seas Brewery and Taproom,American Amber / Red Ale,5.90 %,590,Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,5.50 %,0
580,The Jackspot,The Fin City Brewing Co. .,American Amber / Red Ale,5.80 %,2989,McMenamins Red Riser IRA,McMenamins Pubs and Breweries,Specialty Grain,7.10 %,0
3426,Rav,Berentsens Brygghus,American Amber / Red Ale,4.70 %,1366,Little Beer Little Tenderness,Little Beer,Amber Ale,5.40 %,0
3146,Monkey Wagon Amber,Bindlestick Brewing Co. .,American Amber / Red Ale,-,1328,Dogfish Head Sweet Home Amber Lager,Dogfish Head Brewery,Amber Lager/Vienna,5.50 %,0
1849,TÃ 1/4 binger Red Ale,Cerveceria Principal ( Tubinger ),American Amber / Red Ale,5.50 %,2353,Mikkeller Big Worst Barley Wine,De Proefbrouwerij,Barley Wine,18.50 %,0
2496,Portsmouth Amber Dandy With Cayenne,Portsmouth Brewery,American Amber / Red Ale,-,200,JoBoy_s Manheim Red,JoBoy_s Brew Pub,Amber Ale,5.20 %,0
684,Kawaba Sunrise,Denen Plaza Kawaba Brewery,American Amber / Red Ale,5.00 %,2186,Cap d_Ona L_envie,Cap d_Ona,Spice/Herb/Vegetable,6.60 %,0
942,Columbus Red,Minneapolis Town Hall Brewery,American Amber / Red Ale,5.50 %,2868,Freetail PiÃ ± ata Protest,Freetail Brewing Co. .,Witbier,6 %,0
778,Hound 's Tooth Amber,Silver Moon Brewing,American Amber / Red Ale,5.50 %,2895,Crabtree Serenity Amber Ale,Crabtree Brewing Company,Amber Ale,6.10 %,0
1855,Crimson Red,Congregation Ale House,American Amber / Red Ale,7.40 %,242,Black Swan Cherrywood Smoked Porter,Black Swan Brewpub,Porter,5.10 %,0
257,Back East Ale,Back East Brewing Company,American Amber / Red Ale,5.00 %,490,Central Coast Old Mission Amber Ale,Central Coast Brewing,Amber Ale,5.50 %,0
1085,Angry Peaches,Garage Project,American Amber / Red Ale,6.80 %,159,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Amber Ale,5.20 %,0
4294,Pizza Boy / Chip Bender - Benders Barleywine,Al 's of Hampden / Pizza Boy Brewing,American Barleywine,10.00 %,833,508 Dorado Pampeana,508 Gastrobrewery,Golden Ale/Blond Ale,-,0
890,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,2079,Backroom Holiday Market Ale - Rosemary & Orange Zest,Backroom Brewery,Spice/Herb/Vegetable,6 %,0
474,Irish Red,Rubicon Brewing Company,American Amber / Red Ale,6.90 %,946,Amsterdam Big Wheel Deluxe Amber Beer,Amsterdam Brewing Company,Amber Ale,5 %,0
2964,Red Baron Ale,Schram Vineyards Winery & Brewery,American Amber / Red Ale,6.50 %,1305,Goat Ridge New London Amber Ale,Goat Ridge Brewing Company,Amber Ale,5.20 %,0
84,Redhook Late Harvest Autumn Ale,Redhook Ale Brewery,American Amber / Red Ale,5.90 %,1554,Freedom_s Edge Magnitude Imperial Red,Freedom_s Edge Brewing,American Strong Ale,7.50 %,0
4010,Hog Heaven Barley Wine,Avery Brewing Company,American Barleywine,9.20 %,1961,Elysian Men_s Room Original Red,Elysian Brewing &#40; AB-InBev &#41;,American Pale Ale,5.60 %,0
1393,Hop Test # 1 ( Ginger Red Ale ),Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,7.80 %,2443,Tired Hands StonerWitch,Tired Hands Brewing Company,Barley Wine,10.80 %,0
267,Bone Warmer Imperial Amber Ale,Grand Teton Brewing Co. .,American Amber / Red Ale,8.20 %,165,Kingdom Round Barn Red,Kingdom Brewing,Amber Ale,5.50 %,0
180,Red Giant,Element Brewing Company,American Amber / Red Ale,8.25 %,1866,Big Alice No. 0066 - Red Oak IPA,Big Alice Brewing,Imperial IPA,11.70 %,0
1184,Main Stage - Amber Ale,612 Brew,American Amber / Red Ale,4.50 %,905,BrainDead Red,BrainDead Brewing,Amber Ale,6 %,0
1410,Trois De Pique,L'Inox,American Amber / Red Ale,5.00 %,424,Peak Organic King Crimson,Shipyard Brewing Company,American Strong Ale,9 %,0
1810,Amber Waves Of Grain,10 Barrel Brewing Co. .,American Amber / Red Ale,5.80 %,1357,Sandar Tiffani Amber Thiessen,Sandar Haandverksbryggeri AS,Amber Ale,4.60 %,0
2074,Mud In Your Eye Red,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.80 %,1241,Arch Brewing Dinner Jacket Red IPA,Wellington Brewery,India Pale Ale &#40; IPA &#41;,6.30 %,0
3855,Money,The North Brewery,American Amber / Red Ale,6.00 %,679,Sierra Andina Alpamayo Amber Ale,Sierra Andina,Amber Ale,5.80 %,0
1524,Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,6.70 %,1713,3 Sheeps Baaad Boy Black Wheat,3 Sheeps Brewing Company,Dunkelweizen,5.50 %,0
3631,Mine Is n't Red ( ReplicAle 2014 ),DryHop Brewers,American Amber / Red Ale,5.40 %,2411,Big Time Old Wooly Barleywine,Big Time Brewery,Barley Wine,9 %,0
3672,Copperhead,Gate City Brewing Co. .,American Amber / Red Ale,5.20 %,355,Dragoon / Fate &#40; AZ &#41; Infringement Pils,Dragoon Brewing Company,Pilsener,6.60 %,0
3999,Herrmann The Great,Kretschmann Brewing Company,American Amber / Red Ale,6.00 %,374,5 Seasons Kilt Lifter Scotch Ale,5 Seasons Brewing Company,Scotch Ale,8 %,0
1234,Coffee Amber,Fortnight Brewing Company,American Amber / Red Ale,5.50 %,2091,Daytona Beach FL Wildflower Unite Red Ale,Daytona Beach Brewing Company,Amber Ale,5.90 %,0
1365,Der Drachenorden ( L _ ™ ordre Du Dragon ),Kruhnen,American Amber / Red Ale,7.00 %,2522,Relic Morgue Party,Relic Brewing Company,Barley Wine,10.80 %,0
1493,Truckee River Organic Red,Great Basin Brewing Co. .,American Amber / Red Ale,6.30 %,2718,Chatham Maple Amber,Chatham Brewing,Amber Ale,5.50 %,0
3747,Les 3 Loups AmbrÃ © e,Brasserie Les 3 Loups,American Amber / Red Ale,6.50 %,2326,Fish Tale Starfish Imperial Red,Fish Brewing Company/Leavenworth Beers,American Strong Ale,7.50 %,0
726,Photon Imperial Crimson,Firefly Hollow Brewing Co. .,American Amber / Red Ale,8.90 %,297,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery,American Strong Ale,7.50 %,0
4035,John Barleycorn Barleywine Ale,Mad River Brewing Company,American Barleywine,11.40 %,2673,Fin City Jackspot Amber Ale,Fin City Brewing Company,Amber Ale,5.80 %,0
3990,Amber Smashed Face,3 Floyds Brewing Co. .,American Amber / Red Ale,-,1044,New Boswell The Hoppit Amber Ale,New Boswell Brewing Company,Amber Ale,6 %,0
2953,Crimson Halo,All Saints Brewing Company,American Amber / Red Ale,5.30 %,61,Du Lac Saint-Jean Boutefeu,Microbrasserie du Lac Saint-Jean,Amber Ale,5.10 %,0
1811,Valkyrie Red,Valholl Brewing Co. . LLC,American Amber / Red Ale,6.50 %,1264,Boneyard Red Ale,Boneyard Brewing,Mild Ale,2.90 %,0
1149,Get To The Choppa,The Beer 'd Brewing Co. .,American Amber / Red Ale,7.50 %,2570,21st Amendment / Firestone Walker / Stone El Camino &#40; Un &#41; Real Black Ale,Stone Brewing Company,American Strong Ale,9.50 %,0
259,Common Sense,Upstate Brewing Company,American Amber / Red Ale,5.30 %,2669,Boulevard Tenpenny Ale,Boulevard Brewing Company &#40; Duvel-Moortgat &#41;,Bitter,3.30 %,0
3477,Jacobsen Red Christmas Ale,Carlsberg Danmark A/S,American Amber / Red Ale,4.60 %,1966,Pitchfork Hudson Honey Bee Blonde,Pitchfork Brewing Company,Golden Ale/Blond Ale,5.50 %,0
3236,Rough Sesh,Stewart 's Brewing Co. .,American Amber / Red Ale,4.70 %,2070,Lofty Zeb_s American Red Ale,Lofty Brewing Company,Amber Ale,5.40 %,0
427,Pinglehead,Pinglehead Brewing Co. / Brewer 's Pizza,American Amber / Red Ale,7.80 %,1598,Roosters Brewing Rude Ram Red,Roosters Brewing Co. &#40; US &#41;,Amber Ale,4 %,0
2366,Red Mist,Beards Brewery,American Amber / Red Ale,6.10 %,8,Brewerie Apparition Amber Ale,The Brewerie at Union Station,Amber Ale,8 %,0
2069,Steeple Hemp Amber Ale,Rising Sons,American Amber / Red Ale,4.50 %,2985,Deschutes India Red Delicious,Deschutes Brewery,India Pale Ale &#40; IPA &#41;,6.10 %,0
1363,Amber Reign,Maui Brewing Co. .,American Amber / Red Ale,5.50 %,2417,Breakwater Wellenbrecher Lager,Breakwater Brewing Company,Premium Lager,5.20 %,0
3811,Plan Bee,Twisted Crew Brewing Company,American Amber / Red Ale,6.40 %,2515,Destihl Triton Barleywine,Destihl Brewery,Barley Wine,11.50 %,0
1740,Breakside Hoppy Amber,Breakside Brewery,American Amber / Red Ale,7.00 %,901,FOTM Hoosier Amber,Fire on the Mountain Brewing Co. .,Amber Ale,5.30 %,0
552,Portsmouth Brewing Red Bird Ale,Portsmouth Brewing Co. / Mault 's Brewpub,American Amber / Red Ale,-,605,Boulder Draft House Alpenglow Amber,Boulder Draft House,Amber Ale,5.60 %,0
1972,S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,2519,Absolution Angel_s Demise,Absolution Brewing Company,India Pale Ale &#40; IPA &#41;,7.20 %,0
3524,Ant Ray Cow Pants,Oliphant Brewing,American Amber / Red Ale,7.30 %,2590,Wadworth Henrys Smooth,Wadworth,Bitter,3.60 %,0
1135,The Former Tenant,Modus Operandi Brewing Co. .,American Amber / Red Ale,-,131,Lawson_s Finest Equinox Extra XPA,Lawson_s Finest Liquids,American Strong Ale,7.10 %,0
2784,100 % Brett Red Ale,Cervejaria Way,American Amber / Red Ale,5.80 %,2597,Wadworth Crimson Dawn,Wadworth,Bitter,4.50 %,0
378,Murphy 's Law Amber Ale,Smartmouth Brewing Company,American Amber / Red Ale,5.80 %,1653,On Rotation Saved By The Belma,On Rotation,Amber Ale,5 %,0
3686,Project Y,Vault Brewing Company,American Amber / Red Ale,5.50 %,2266,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,8 %,0
984,Fly Fisher Red,Gore Range Brewery,American Amber / Red Ale,5.50 %,2960,Endeavour 2010 Reserve Amber Ale,Australian Independent Brewers,Amber Ale,5.20 %,0
4073,Attempted RedRum,New England Brewing Co. .,American Barleywine,13.00 %,1891,Bear Republic New Oak Red Rocket Ale,Bear Republic Brewing Company,Amber Ale,7.30 %,0
293,Arbor Brewing Red Snapper Special Bitter,Arbor Brewing Company,American Amber / Red Ale,4.90 %,1879,Barrier Willamette Valley Amber Ale,Barrier Brewing Company,Amber Ale,5.20 %,0
3383,HOPe Bohemic,HOPe Artesana,American Amber / Red Ale,6.00 %,1186,Get Well Amarillo Sunrise Amber Ale,Get Well,Amber Ale,-,0
1286,Absolutely Amber,Bagby Beer Company,American Amber / Red Ale,6.00 %,1157,TwoRows Jalapeno Route 66 Amber Ale,TwoRows Restaurant & Brewery,Spice/Herb/Vegetable,-,0
820,Cwtch,Tiny Rebel Brewing Co. .,American Amber / Red Ale,4.60 %,2854,Beaver Street Railhead Red,Beaver Street Brewery,Amber Ale,-,0
341,Red Felt Ale,Goose Island Beer Co. .,American Amber / Red Ale,6.00 %,2308,Rock Art Vermonster,Rock Art Brewery,Barley Wine,10 %,0
4161,Centurion Barleywine Ale,Golden City Brewery,American Barleywine,-,2409,Golden City Centurion Barleywine Ale,Golden City Brewery,Barley Wine,11.20 %,1
3536,Millennium Falcon,Block 15 Brewery & Restaurant,American Amber / Red Ale,7.30 %,835,Sawtooth False Summit Amber Ale,Sawtooth Brewery,Amber Ale,5.70 %,0
3706,Wuidsau,HoppebrÃ $ u,American Amber / Red Ale,5.60 %,17,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,Amber Ale,5.30 %,0
282,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,American Amber / Red Ale,6.70 %,521,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Amber Ale,6 %,0
307,Yukon Red Amber Ale ( Arctic Red ),Yukon Brewing Company,American Amber / Red Ale,5.50 %,2349,Fish Tale Leviathan Barleywine &#40; Batch 5 + &#41;,Fish Brewing Company/Leavenworth Beers,Barley Wine,10 %,0
2213,Relentless Red,Out of Bounds Brewing Company,American Amber / Red Ale,9.00 %,1175,Solemn Oath Ultrahighfrequency,Solemn Oath Brewery,Amber Ale,7.50 %,0
18,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.50 %,689,Able Ebenezer Tabula Rasa,Able Ebenezer Brewing Company,Amber Ale,7.50 %,0
1026,Scout Dog 44,Veterans United Craft Brewery,American Amber / Red Ale,5.40 %,1851,Jing A &#40; Blushing Geija &#41; Koji Red Ale,Jing A &#40; &#20140; A &#41; Capital Brewing Co. .,Specialty Grain,6.20 %,0
1087,Woodenhead Ale,River City Brewing Company,American Amber / Red Ale,6.70 %,291,Mudhook Live Bait Amber Ale,Mudhook Brewing Company,Amber Ale,6 %,0
1809,Bronze Ale,Bali Storm Brewing Company,American Amber / Red Ale,5.40 %,1884,Taps Lillie_s Q Hog Tied Amber Ale,Taps Fish House and Brewery,Amber Ale,5.80 %,0
3204,Dirty Redhead,GoatHouse Brewing,American Amber / Red Ale,7.50 %,2089,The Eldo Secret Trail Ale,The Eldo Brewery & Taproom,Amber Ale,5.60 %,0
28,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00 %,2564,Black Diamond Steep Trail Amber Ale,Black Diamond Brewing Company,Amber Ale,5.70 %,0
4114,Annularity,FiftyFifty Brewing Co. .,American Barleywine,10.00 %,1188,Declaration Hardtack Copper,Declaration Brewing,Amber Ale,5.30 %,0
2072,Bad Hare Red Ale,Rhinelander Brewing Company,American Amber / Red Ale,5.50 %,697,Against the Grain Truffle Shuffle,Against the Grain Brewery,Spice/Herb/Vegetable,6.80 %,0
3274,Canadian Maple,Stensbogaard Bryghus,American Amber / Red Ale,5.20 %,2603,Banner American Ale,Brewmaster_s Tavern &#40; Opa-Opa Brewing &#41;,Amber Ale,3.40 %,0
2762,L'AmbrÃ © e Des FÃªtes,Les 3 Brasseurs,American Amber / Red Ale,6.90 %,573,Kaapse Brouwers Jaapie,Brouwerij de Molen,American Strong Ale,10.10 %,0
1363,Amber Reign,Maui Brewing Co. .,American Amber / Red Ale,5.50 %,746,Beer Works Crimson Clover Irish Red,Beer Works,Irish Ale,5 %,0
1578,Wild Rice,Argus Brewery,American Amber / Red Ale,6.50 %,2415,Elysian The Gourdfather Pumpkin Barleywine,Elysian Brewing &#40; AB-InBev &#41;,Spice/Herb/Vegetable,11.20 %,0
1054,Feight,8th Wonder Brewery,American Amber / Red Ale,5.20 %,2886,HammerHeart Barrel Aged Serpensblod,HammerHeart Brewing Company,Amber Ale,8.34 %,0
2202,Foreign Affair,Carlow Brewing Company,American Amber / Red Ale,4.80 %,2815,Abita Red Fish Ale,Abita Brewing Company,Amber Ale,-,0
4240,Barrington Yule Fuel,Barrington Brewery & Restaurant,American Barleywine,11.00 %,1413,8th Street Red Beard The Scotch,8th Street Ale Haus,Scotch Ale,6 %,0
2373,Archie 's Red Ale,Mismatch Brewing Company,American Amber / Red Ale,5.00 %,2481,Motor City Winter Ale,Motor City Brewing Works,American Strong Ale,8.80 %,0
1931,Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,810,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,1
622,Heart O ' Texas,Four Corners Brewing Company,American Amber / Red Ale,6.20 %,1165,Outpost Mr. Grain Jeans Organic Amber Ale,Lakefront Brewery,Amber Ale,5.50 %,0
916,Red Giant Ale,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,6.50 %,1990,Ego Forhekset Prinsesse,Ego Brygghus,Amber Ale,6.20 %,0
1474,Revenuers Red Ale,Catawba Brewing Co. .,American Amber / Red Ale,5.20 %,515,Loowit Two-Sixteen Red Ale,Loowit Brewing Company,Amber Ale,-,0
1239,Barley 's Red Molly Imp,Smokehouse Brewing Co. .,American Amber / Red Ale,7.80 %,904,21st Amendment Larrys Last Call Ale,21st Amendment Brewery,Amber Ale,-,0
3087,LÃ ¨ che-Babines,Bedondaine & Bedons Ronds,American Amber / Red Ale,5.00 %,714,Alligator Chocolate Orange Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,Belgian Ale,6.20 %,0
988,MacKenzie River Driftboat Amber,Blackfoot River Brewing Company,American Amber / Red Ale,5.50 %,691,Peak Organic Amber Ale,Shipyard Brewing Company,Amber Ale,4.80 %,0
3004,Robustus Rubeus,Thirsty Monk,American Amber / Red Ale,8.00 %,413,Philadelphia Rowhouse Red,Philadelphia Brewing Company,Specialty Grain,5 %,0
4082,Quakerbridge,Half Acre Beer Company,American Barleywine,10.00 %,2016,Roulier Lamarieuse,Brasserie de Roulier,Amber Ale,5.40 %,0
194,Rollin ' Dirty Red Ale,Cigar City Brewing,American Amber / Red Ale,-,1819,Wrecking Bar Penny for your Thoughts Copper Ale,Wrecking Bar Brewpub,Amber Ale,5.10 %,0
4278,10th Anniversary Barleywine ( 2014 ),Amnesia Brewing,American Barleywine,10.20 %,1870,Lake Placid Barkeater Amber Ale,Lake Placid Pub & Brewery,Amber Ale,5 %,0
2077,Mary Jane Amber Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,-,1622,3 Freaks Lucky Clover Red Ale,3 Freaks Brewery,Irish Ale,4.50 %,0
2392,Octomalt,North Mountain Brewing Co. .,American Amber / Red Ale,6.70 %,2833,Silver Moon Hounds Tooth Amber,Silver Moon Brewing,Amber Ale,4.50 %,0
3445,Winter Seasonal Amber Ale,Dead Frog Brewing,American Amber / Red Ale,5.00 %,2897,Blue Canoe Razorback Rye P.A.,Blue Canoe Brewing Company,India Pale Ale &#40; IPA &#41;,7.50 %,0
1752,Outlaw Amber,Ten Sleep Brewing Company,American Amber / Red Ale,6.00 %,2888,Riverside Forty Four American Amber,Riverside Brewing Company,Amber Ale,6.50 %,0
3789,Friend Zone,Lion Bridge Brewing Company,American Amber / Red Ale,6.50 %,498,Indie Alehouse Grendel_s Revenge,Indie Alehouse Brewing Co. .,Old Ale,8 %,0
505,Storm Cat,One Trick Pony,American Amber / Red Ale,6.70 %,1802,ShinDigger City Shuffle Red Ale,ShinDigger,Amber Ale,5.10 %,0
350,Men 's Room Original Red,Elysian Brewing Company,American Amber / Red Ale,5.60 %,2105,401 Caramel Apple Cider,401 Cider Brewery,Cider,5 %,0
1323,Scarlet Harlot,Turtle Anarchy Brewing Company,American Amber / Red Ale,4.90 %,2126,Blackjack Blackberry King of Clubs,Blackjack,Imperial Stout,7.20 %,0
1344,Jukebox Jazz,Microbrasserie Jukebox,American Amber / Red Ale,5.00 %,2336,Firestone Walker Maltose Falcons Brownywine,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;,American Strong Ale,13.60 %,0
3391,Red Ai n't Dead,Nevin 's Brewing Company,American Amber / Red Ale,6.00 %,1095,Beaver Creek Castor Mexican Amber,Beaver Creek Brewery,Amber Ale,4.60 %,0
2091,Coral Reef,Left Coast Brewing Company,American Amber / Red Ale,10.80 %,1659,BarNone Red Eye IPA,BarNone Brewing,India Pale Ale &#40; IPA &#41;,-,0
3052,Stateside Rye,Everards Brewery Ltd. .,American Amber / Red Ale,4.50 %,2525,Simeon Jones River Valley Amber Ale,Northampton Brewing Co. &#40; NB &#41;,Amber Ale,4.50 %,0
1101,Almog_ver Cervesa Artesanal,Cerveses Almog_ver,American Amber / Red Ale,4.50 %,1949,Jaw Glide,Jaw Brew,Golden Ale/Blond Ale,4.60 %,0
2463,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 %,1148,Twains River Sunset Amber,Twains Billiards and Tap,Amber Ale,5.70 %,0
3433,Dr. Rudi Es Muy Caliente,Dust Bowl Brewing Company,American Amber / Red Ale,8.00 %,13,Big Rig Rideau Red,Big Rig Brewery,Amber Ale,5.20 %,0
3259,Slippery Slope,Telegraph Brewing Company,American Amber / Red Ale,-,2441,Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,8 %,0
